idx,company,address,city,tax1,tax2,tax3,website,lat,lng
185,GRACE,"Durham, NC",Durham,Energy Systems/Management,Utility/Grid,Power Electronics,https://arpa-e.energy.gov/technologies/projects/grid-thats-risk-aware-clean-electricity-grace,35.994033,-78.898619
186,Nature Dots,"Delhi, India",Delhi,IoT/IIoT,Circular Economy,,https://naturedots.com,28.704059,77.10249
187,Solar Unsoiled,"Durham, NC",Durham,Solar,IoT/IIoT,Ag/Food-tech,https://www.solarunsoiled.com/,35.994033,-78.898619
188,TeraLoop,"Espoo, Finland",Espoo,Storage/Batteries,Enabling Technologies/Components,Energy Efficiency,https://www.teraloop.org/,60.205491,24.6559
189,BlockCarbon,"Chicago, IL",Chicago,Finance,IoT/IIoT,Carbon/CCUS,https://blockcarbon.io/,41.878114,-87.629798
190,Copernic Catalysts,"Cambridge, MA",Cambridge,Chemistry,Hydrogen,Transportation/MaaS,https://coperniccatalysts.com/,42.373616,-71.109733
191,DetoXyFi,"Boston, MA",Boston,Environmental Remediation,Enabling Technologies/Components,Water/Wave/Hydro,https://www.detoxyfi.com/,42.360082,-71.05888
192,Terrastor,"Forth Worth, TX",Forth Worth,Storage/Batteries,Utility/Grid,,https://www.terrastor.co/,32.755488,-97.330766
193,Arbon,"Cambridge, MA",Cambridge,Carbon/CCUS,Materials,Enabling Technologies/Components,https://www.arboncapture.com/,42.373616,-71.109733
194,Hexcrete Technology,"Ames, IA",Ames,Wind,Built Environment/Construction,Generation/Transmission,https://www.concreteconstruction.net/business/technology/hexcrete-wind-energy-towers_c,42.030781,-93.631913
195,Project EVWC,"Iowa, US","Iowa, US",Transportation/MaaS,Storage/Batteries,Enabling Technologies/Components,,41.878002,-93.097702
196,Rosenberg Solutions,"Des Moines, IA",Des Moines,Wind,IoT/IIoT,Professional Services,https://www.rosesolved.com/,41.586835,-93.624959
197,Cella,"New York, NY",New York,Carbon/CCUS,Geology/Mining,Chemistry,https://www.cellamineralstorage.com/,40.712775,-74.005973
198,EV FireSafe,"Melbourne, Australia",Melbourne,Transportation/MaaS,Environmental Remediation,,https://www.evfiresafe.com/,-37.813628,144.963058
199,Switched Source,"Vestal, NY",Vestal,Enabling Technologies/Components,Generation/Transmission,Utility/Grid,https://www.switchedsource.com/,42.08559,-76.053575
200,Virtus Solis,"Troy, MI",Troy,Solar,Generation/Transmission,,https://virtussolis.space/,42.60641,-83.149775
201,ElectricFish,"Fremont, CA",Fremont,Storage/Batteries,Transportation/MaaS,Enabling Technologies/Components,https://www.electricfish.co/,37.54854,-121.988583
202,Active Surfaces,"Cambridge, MA",Cambridge,Solar,Materials,Enabling Technologies/Components,https://www.linkedin.com/company/activesurfaces/,42.373616,-71.109733
203,Electrified Thermal Solutions,"Medford, MA",Medford,Storage/Batteries,Thermal/Geothermal,Materials,https://www.electrifiedthermal.com/,42.41843,-71.106164
204,Finwave,"Waltham, MA",Waltham,Enabling Technologies/Components,IoT/IIoT,Power Electronics,https://www.finwavesemi.com/,42.376485,-71.235611
205,FoundEnergy,"Boston, MA",Boston,Hydrogen,Storage/Batteries,Energy Systems/Management,https://www.found.energy/,42.360082,-71.05888
206,Mantel Capture,"Cambridge, MA",Cambridge,Enabling Technologies/Components,Energy Systems/Management,Carbon/CCUS,https://mantelcapture.com/,42.373616,-71.109733
207,Muir.ai,"Seattle, WA",Seattle,IoT/IIoT,Environmental Remediation,Energy Systems/Management,https://www.muir.ai/,47.60621,-122.332071
208,Osmoses,"Cambridge, MA",Cambridge,Enabling Technologies/Components,Hydrogen,Carbon/CCUS,https://osmoses.com/,42.373616,-71.109733
209,Quaise,"Cambridge, MA",Cambridge,Thermal/Geothermal,Enabling Technologies/Components,,https://www.quaise.energy/,42.373616,-71.109733
210,Wenverter,"Glasgow, Scotland",Glasgow,Water/Wave/Hydro,Hydrogen,Generation/Transmission,https://www.wenverter.com/,55.86167,-4.258334
