idx,company,website,tax1,tax2,tax3,city,notes,address,lat,lng
47,Resolux ApS,http://www.resolux.dk,Wind,Manufacturing,Lighting,Ørbæk,Wind Energy Product Supplier,"Tjørnevej 6, Ørbæk 5853",55.26131,10.67182
48,Sunarc Technology,http://www.sunarc.net/,Solar,Thermal Energy,,Rønnede,,"Industrivej 44, Rønnede 4683",55.26387,12.02897
49,Øglænd System,http://www.oglaend-system.com,Built Environment/Construction,Engineering,Professional Services,Haderslev,Wind Energy Product Supplier,"Niels Bohrs Vej 11, Haderslev 6100",55.26512,9.502519
50,Karise Permatopia,https://www.permatopia.dk/vision/,Circular Economy,Built Environment/Construction,,Karise,Wind Energy consulting services,"Køgevej 15 A, Karise 4653",55.301,12.18982
51,Fortum Waste Solutions,https://fortum.dk,Environmental Remediation,Circular Economy,,Nyborg,Recycling and recovering,"Lindholmvej 3, Nyborg 5800",55.30357,10.81374
52,LYKKEGAARD A/S,https://lykkegaard-as.com,Enabling Technologies/Components,Energy Efficiency,Manufacturing,Ferritslev Fyn,Energy-efficient pumps,"Nyborgvej 35, Ferritslev Fyn 5863",55.31158,10.60652
53,WILLBRANDT Gummiteknik A/S,http://www.willbrandt.dk,Materials,Consulting,Professional Services,Haslev,Wind Energy Product Supplier,"Finlandsgade 30, Haslev 4690",55.32254,11.93985
54,TopEnergy,http://www.topenergy.dk/,Solar,Marketing,,Herlufmagle,,"Ravnstrupvej 67, Herlufmagle 4160",55.33315,11.7191
55,AH Industries,http://www.ah-industries.dk,Manufacturing,Wind,Enabling Technologies/Components,Ribe,Wind Energy Product Supplier,"Industrivej 4, Ribe 6760",55.34579,8.776684
56,Plast2oil,http://www.plast2oil.dk,Circular Economy,Environmental Remediation,Oil and Gas,Odense,Wind Energy; Energy storage,"Svendborgvej 226, Odense 5260",55.34751,10.41659
57,BioTrans Nordic,https://biotrans-nordic.com,Biofuels,Circular Economy,,Odense S,Recycling food waste,"Svendborgvej 243, Odense S 5260",55.3481,10.41268
58,HYDAC A/S,http://www.hydac.dk,Enabling Technologies/Components,Manufacturing,,Langeskov,Wind Energy Product Supplier,"Havretoften 5, Langeskov 5550",55.35109,10.57233
59,Lorenz Technology ApS,http://www.lorenztechnology.com/,IoT/IIoT,Security/Cybersecurity,Mobility as a Service,Odense,Wind Energy; Energy storage; Integration of Renewables,"Sivlandvænget 3,1., Odense 5260",55.35364,10.40794
60,Ib Andresen Industri,https://iai.dk,Materials,Manufacturing,Enabling Technologies/Components,Langeskov,Knowledge-based business partner,"Industrivej 12, Langeskov 5550",55.35447,10.57312
61,P.N. Erichsen A/S,http://www.pne.dk,Enabling Technologies/Components,,,Odense,Wind Energy; Oil and Gas,"Magnoliavej 10, Odense 5250",55.35532,10.34121
62,OE3i,https://oe3i.dk,IoT/IIoT,Consulting,,Odense S,Software for the energy sector,"Hestehaven 21, Odense S 5260",55.35676,10.40825
63,MM SURVEY ApS,http://www.mmsurvey.dk,Energy Systems/Management,IoT/IIoT,,Christiansfeld,Oil and Gas,"10. Juli Vej 1, Christiansfeld 6070",55.3589,9.488244
64,exodraft,http://www.exodraft-heatrecovery.co.uk/,Manufacturing,,,Odense SØ,Air to water heat recovery,"C. F. Tietgens Boulevard 41, Odense SØ 5220",55.36093,10.4826
65,IRD Fuel Cells,https://irdfuelcells.com,Storage,Energy Efficiency,,Odense SØ,Components for fuel cells,"Emil Neckelmanns Vej 15A, Odense SØ 5220",55.36317,10.49268
66,Coromatic,https://coromatic.dk,Built Environment/Construction,Professional Services,Energy Efficiency,Odense SØ,Power supply and data communication,"Agerhatten 5, Odense SØ 5220",55.36384,10.46137
67,GÖRLITZ Lukia,http://www.lukia.goerlitz.com/en.html,Enabling Technologies/Components,,,Odense SV,Smart metering and smart grids,"Sanderumvej 16b, Odense SV 5250",55.36744,10.35352
68,University of Southern Denmark,https://www.sdu.dk/en,Academia/Research,,,Odense M,University and research in green techonologies,"Campusvej 55, Odense M 5230",55.36836,10.42715
69,Safe Marine Service,http://safemarineservice.dk/,Professional Services,,,Odense,Wind Energy; Oil and Gas,"Cortex Park 26, Odense 5230",55.3742,10.42935
70,EXHAUSTO,https://www.exhausto.com/,Manufacturing,Professional Services,Consulting,Langeskov,Supplier of ventilation systems,"Odensevej 76, Langeskov 5550",55.37493,10.55537
71,Nature Energy,https://natureenergy.dk/,Circular Economy,Biofuels,,Odense SØ,Other,"Ørbækvej 260, Odense SØ 5220",55.376281,10.438442
72,Tibnor A/S,http://www.tibnor.dk,Materials,Professional Services,IoT/IIoT,Odense M.,Wind Energy Product Supplier,"Klokkestøbervej 18, Odense M. 5230",55.38012,10.41646
73,Linko Gas,https://linkogas.dk,Biofuels,Circular Economy,,Lintrup,Biogas from organic products,"Tornumvej 15, Lintrup 6660",55.38301,8.956262
74,Lemvigh-Müller,https://www.lemu.dk/,Enabling Technologies/Components,Materials,Manufacturing,Odense SØ,,"Blangstedgårdsvej 23, Odense SØ 5220",55.386691,10.439598
75,Marslev EL,http://www.marslev-el.dk/,Professional Services,Built Environment/Construction,Solar,Marslev,,"Kertemindevejen 18, Marslev 5290",55.38744,10.52721
76,Mink-Bürsten,http://www.mink-buersten.com,Enabling Technologies/Components,Solar,Wind,Vissenbjerg,Wind Energy Product Supplier,"Glasvænget 2, Vissenbjerg 5492",55.39097,10.14366
77,KVM-Conheat,https://www.kvm-conheat.com/,Built Environment/Construction,Engineering,IoT/IIoT,Vissenbjerg,District heating units,"Industrivej 6, Vissenbjerg 5492",55.392026,10.143845
78,GMF A/S,http://www.gmf.dk,Materials,Built Environment/Construction,,Gelsted,Wind Energy; Oil and Gas,"Hylkedamvej 70, Gelsted 5591",55.39208,9.941573
79,VCS Denmark,https://vcsdenmark.com,Wave/Water/Hydro,Circular Economy,,Odense C,Water and wastewater utility,"Vandværksvej 7, Odense C 5000",55.39323,10.37301
80,Tasso A/S,http://www.tasso-bar.com,Materials,Manufacturing,Energy Systems/Management,Odense C,Wind Energy Product Supplier,"Frederiksgade 37, Odense C 5000",55.39558,10.3986
81,City of Odense,https://odense.dk/english.aspx,Energy Efficiency,,,Odense C,Renewable and intelligent energy,"Flakhaven 2, Odense C 5000",55.39611,10.38903
82,Wieland Electric A/S,http://www.wieland-electric.com/da,Wind,Lighting,Engineering,Køge,Wind Energy Product Supplier,"Vallørækken 27, Køge 4600",55.40078,12.22439
83,ZIEHL-ABEGG Danmark,http://www.ziehl-abegg.com,Enabling Technologies/Components,,,Odense C,Wind Energy Product Supplier,"Pakhusgården 40, Odense C 5000",55.40132,10.35796
84,Clayton Power,https://www.claytonpower.com/,Storage,Manufacturing,Enabling Technologies/Components,Odense C,,"Pakhusgaarden 42-48, Odense C 5000",55.40144,10.358
85,Danish Environmental Protection Agency,https://eng.mst.dk/,Wave/Water/Hydro,Environmental Remediation,Policy,Odense C,Environmental and nature protection,"Tolderlundsvej 5, Odense C 5000",55.40475,10.38799
86,SoMeCentral ApS,https://somecentral.com/,Marketing,IoT/IIoT,,Slagelse,Wind Energy; Oil ang Gas; Other; Integration of Renewables; Energy Storage,"Søndre Stationsvej 26, Slagelse 4200",55.40734,11.34993
87,Frese,https://frese.eu,Manufacturing,Energy Systems/Management,,Slagelse,Fluid control and component solutions,"Sorøvej 8, Slagelse 4200",55.40792,11.37313
88,Stiesdal,http://stiesdal.com/,Wind,Storage,Enabling Technologies/Components,Odense,Wind Energy,"Nørrevoldgade 45, Odense 5000",55.408381,10.389795
89,Cotes,http://www.cotes.com,Built Environment/Construction,Energy Efficiency,Wind,Slagelse,Wind Energy Product Supplier,"Ndr. Ringgade 70C, Slagelse 4200",55.41516,11.39402
90,QuickTube,http://quicktube.dk,Consulting,Professional Services,Manufacturing,Odense,Oil and Gas; Wind Energy,"Egestubben 1B, Odense 5270",55.4246,10.35841
91,Danish Blade Service ApS,https://danishbladeservice.com/en/,Evaluation/Compliance,Wind,,Vamdrup,Wind Energy operation & maintenance,"Bavnevej 10 B, Vamdrup 6580",55.42662,9.294282
92,H.J. Hansen Recycling Industry,https://hjhansen.dk,Circular Economy,Materials,,Odense C,Processing of recycled materials,"Havnegade 100D, Odense C 5000",55.42667,10.38958
93,Fjernvarme Fyn A/S,https://www.fjernvarmefyn.dk/,Professional Services,Consulting,,Odense C,District Energy;,"Havnegade 120, Odense C 5000",55.42783,10.40517
94,Teknos A/S,http://www.teknos.dk/,Enabling Technologies/Components,Materials,,Vamdrup,Wind Energy Product Supplier,"Industrivej 19, Vamdrup 6580",55.43642,9.300555
95,TL EL Teknik,https://tlelteknik.dk/,Professional Services,Lighting,Solar,Føvling,,"Møllebakken 16, Føvling 6683",55.4523,8.932099
96,COPCO,http://www.copco.dk,Oil and Gas,Chemistry,,Esbjerg,Oil and Gas,"Vestkraftkaj 4C, Esbjerg 6701",55.45784,8.449898
97,DOGIS A/S,http://www.dogis.dk,Enabling Technologies/Components,Professional Services,,Esbjerg,"Wind Energy; Oil and Gas, Other","Måde Engvej 7, Esbjerg 6700",55.45845,8.485569
98,GAC Denmark A/S,http://www.gac.com/denmark,Professional Services,Consulting,,Esbjerg,"Wind Energy; Oil and Gas, Other","Vestkraftkaj 4A, Esbjerg 6700",55.45877,8.450853
99,Fonden Lindø Offshore Renewables Center,http://www.lorc.dk/about,Professional Services,Consulting,,Odense,"R&D, test & demonstration","Kystvejen 100, Odense 5330",55.45914,10.53515
100,LINDØ port of ODENSE A/S,http://www.lpo.dk,Mobility as a Service,,,Munkebo,"Transport, logistics & installation","Kystvejen 100, Munkebo 5330",55.45914,10.53515
